First_Name,Last_Name,Email,Address,status,
Asif,Saifi,asifsafi.bhadanitech@gmail.com,new delhi,
Anuj,Yadav,anujyadav.bhadanitech@gmail.com,haravana,
Yusuf,Khan,yusuf.bhadanitech@gmail.com,new delhi,
shubham,Gautam,asifsafi.bhadanitech@gmail.com,Kanpur,
Arpit,Singh,asifsafi.bhadanitech@gmail.com,haravana,
Ankit,kumar,asifsafi.bhadanitech@gmail.com,up,
Rohit,shani,asifsafi.bhadanitech@gmail.com,up,
Piyush,shrama,asifsafi.bhadanitech@gmail.com,gaziyabad,
Tanu,Shrama,asifsafi.bhadanitech@gmail.com,merrut,
Ravish,kuch bhi,asifsafi.bhadanitech@gmail.com,Harayana,
Gaurav,Kumar,asifsafi.bhadanitech@gmail.com,bihar,
Parteek,Kumar,asifsafi.bhadanitech@gmail.com,Harayana,
Pintu,Kumar,asifsafi.bhadanitech@gmail.com,delhi,
Amit,Kumar,asifsafi.bhadanitech@gmail.com,Locknow,
Sanavaz,Saifi,asifsafi.bhadanitech@gmail.com,Bulandshar,
Ruddra,Kumar,asifsafi.bhadanitech@gmail.com,delhi,
Salman,Khan,asifsafi.bhadanitech@gmail.com,Mumbai,
shahrukh,Khan,asifsafi.bhadanitech@gmail.com,Mumbai,
Devi,shankar,asifsafi.bhadanitech@gmail.com,new delhi,
giyan,shankar,asifsafi.bhadanitech@gmail.com,new delhi,
